coreproject,pmid,title,authors,publication_date,citation_count,relative_citation_ratio,reason
UM1CA097452,24277953,,,,,,No publication info
U10CA031946,25513250,,,,,,No publication info
U10CA031946,25513417,,,,,,No publication info
P50CA098131,25513479,,,,,,No publication info
U54CA224019,31993221,,,,,,No publication info
U54CA203000,32123530,,,,,,No publication info
P50CA244431,32332490,,,,,,No publication info
U01CA217851,33574267,,,,,,No publication info
U01CA239055,33574288,,,,,,No publication info
U24CA215109,33574288,,,,,,No publication info
U01CA231840,33579955,,,,,,No publication info
U24CA195858,33597657,,,,,,No publication info
U54CA224019,34233275,,,,,,No publication info
U01CA217862,34233275,,,,,,No publication info
R01CA234181,34236997,,,,,,No publication info
U54CA243124,35556265,,,,,,No publication info
U54CA233444,36480292,,,,,,No publication info
U54CA233465,36480292,,,,,,No publication info
U54CA233396,36480292,,,,,,No publication info
P50CA196530,36775354,,,,,,No publication info
P50CA062924,37501622,,,,,,No publication info
U10CA031946,1349163,The HER2 (c-erbB-2) oncogene is frequently amplified in in situ carcinomas of the breast.,E Liu;A Thor;M He;M Barcos;B M Ljung;C Benz,1992-05-01,193.0,4.32,Published before 2000
U10CA031946,1383821,"Chemotherapy of advanced Hodgkin's disease with MOPP, ABVD, or MOPP alternating with ABVD.",G P Canellos;J R Anderson;K J Propert;N Nissen;M R Cooper;E S Henderson;M R Green;A Gottlieb;B A Peterson,1992-11-19,859.0,23.27,Published before 2000
U10CA031946,1384949,"Comparison of psychosocial adaptation and sexual function of survivors of advanced Hodgkin disease treated by MOPP, ABVD, or MOPP alternating with ABVD.",A B Kornblith;J Anderson;D F Cella;S Tross;E Zuckerman;E Cherin;E S Henderson;G P Canellos;M P Kosty;M R Cooper,1992-11-15,53.0,1.75,Published before 2000
U10CA031946,1394054,Hodgkin disease survivors at increased risk for problems in psychosocial adaptation. The Cancer and Leukemia Group B.,A B Kornblith;J Anderson;D F Cella;S Tross;E Zuckerman;E Cherin;E Henderson;R B Weiss;M R Cooper;R T Silver,1992-10-15,110.0,4.26,Published before 2000
U10CA031946,1433344,ras oncogene activation and occupational exposures in acute myeloid leukemia.,J A Taylor;D P Sandler;C D Bloomfield;D L Shore;E D Ball;A Neubauer;O R McIntyre;E Liu,1992-11-04,75.0,2.0,Published before 2000
U10CA031946,1588374,Risk factors for high-dose cytarabine neurotoxicity: an analysis of a cancer and leukemia group B trial in patients with acute myeloid leukemia.,E H Rubin;J W Andersen;D T Berg;C A Schiffer;R J Mayer;R M Stone,1992-06-01,69.0,2.12,Published before 2000
U10CA031946,1608355,Phase II trial of ifosfamide/mesna and mitoxantrone in previously treated patients with non-Hodgkin's lymphoma: cancer and leukemia group B study 8753.,D C Case;M T Santarelli;R W Carey;J Anderson;A Gottlieb,1992-01-01,7.0,0.27,Published before 2000
U10CA031946,1623485,Pregnancy outcome in survivors of advanced Hodgkin disease.,A J Janov;J Anderson;D F Cella;E Zuckerman;A B Kornblith;J C Holland;A F Kantor;F P Li;E Henderson;R B Weiss,1992-08-01,13.0,0.52,Published before 2000
U10CA031946,1639635,Post-mastectomy radiotherapy following adjuvant chemotherapy and autologous bone marrow transplantation for breast cancer patients with greater than or equal to 10 positive axillary lymph nodes. Cancer and Leukemia Group B.,L B Marks;E C Halperin;L R Prosnitz;M Ross;J J Vredenburgh;G L Rosner;W Peters,1992-01-01,97.0,3.48,Published before 2000
U10CA031946,1735010,Phase I-II trial of high-dose melphalan in previously untreated stage III multiple myeloma: Cancer and Leukemia Group B study 8512.,D C Case;M Coleman;A Gottlieb;K McCarroll,1992-01-01,3.0,0.11,Published before 2000
U10CA031946,1743622,Phase II trial of ifosfamide and mesna in previously treated patients with non-Hodgkin's lymphoma: Cancer and Leukemia Group B study 8552.,D C Case;J Anderson;T J Ervin;A Gottlieb,1991-01-01,10.0,0.39,Published before 2000
U10CA031946,1783527,Phase II study of echinomycin in patients with advanced breast cancer: a report of Cancer and Leukemia Group B protocol 8641.,R L Schilsky;D Faraggi;A Korzun;N Vogelzang;J Ellerton;W Wood;I C Henderson,1991-08-01,16.0,0.39,Published before 2000
U10CA031946,2208013,Survival of premenopausal women with metastatic breast cancer. Long-term follow-up of Eastern Cooperative Group and Cancer and Leukemia Group B studies.,G Falkson;R S Gelman;L Leone;C I Falkson,1990-10-01,46.0,1.45,Published before 2000
U10CA031946,2283562,Comparison of sex steroid receptor determinations in human breast cancer by enzyme immunoassay and radioligand binding.,R Pasic;B Djulbegovic;J L Wittliff,1990-01-01,27.0,0.67,Published before 2000
U10CA031946,2420443,"Treatment of metastatic malignant melanoma with vinblastine, dacarbazine, and cisplatin: a report from the Cancer and Leukemia Group B.",R W Carey;J R Anderson;M Green;R R Ellison;L Nathanson;B J Kennedy,1986-03-01,22.0,1.09,Published before 2000
U10CA031946,2650758,Diverse prognosis in metastatic breast cancer: who should be offered alternative initial therapies?,R Mick;C B Begg;K H Antman;A H Korzun;E Frei,1989-01-01,74.0,2.63,Published before 2000
U10CA031946,3032434,High-dose etoposide therapy for extensive small cell lung cancer: a Cancer and Leukemia Group B Study.,S D Luikart;K J Propert;C R Modeas;M R Green;M C Perry,1987-05-01,9.0,0.39,Published before 2000
U10CA031946,3132591,Phase II trial of ifosfamide and mesna in previously treated patients with non-Hodgkin's lymphoma: Cancer and Leukemia Group B Study 8552.,D C Case;J Anderson;T J Ervin;A Gottlieb,1988-01-01,16.0,0.81,Published before 2000
U10CA031946,3530451,Phase II trial of m-AMSA therapy in refractory Hodgkin's disease and non-Hodgkin's lymphoma: Cancer and Leukemia Group B Study 7972.,M E Rybak;J R Anderson;R F Poulin;P C Amrein;G P Canellos;A J Gottlieb,1986-10-01,4.0,0.19,Published before 2000
U10CA031946,3955555,Cisplatin in patients with gastric cancer: a Cancer and Leukemia Group B phase II study.,M C Perry;M R Green;R Mick;P Schein,1986-03-01,27.0,1.0,Published before 2000
U10CA031946,6488443,"Bisantrene (NSC 337766) (CL 216,942) in advanced breast cancer. A cancer and leukemia group B study.",A A Forastiere;M C Perry;A K Hughes;W C Wood,1984-01-01,2.0,0.13,Published before 2000
U10CA031946,7139643,Phase II trial of bisantrene in advanced colorectal cancer: a cancer and leukemia group B study.,M C Perry;A A Forastiere;F Richards;R B Weiss;D Anbar,1982-11-01,1.0,0.05,Published before 2000
P50CA062924,7479076,Isolation of YAC insert sequences by representational difference analysis.,M Schutte;L T da Costa;C A Moskaluk;E Rozenblum;X Guan;P J de Jong;M Bittner;P S Meltzer;J M Trent;S E Kern,1995-10-25,7.0,0.15,Published before 2000
